time_step,current_state,next_pattern,status,mapped_to,transition_probability,path_probability,confidence_score_%,decision
28,2000,0000,Known,N/A,0.5,8.31e-04,50.0,Normal
29,0000,0000,Known,N/A,0.64426,5.35e-04,64.43,Normal
30,0000,0001,Known,N/A,0.10984,1.10e-01,10.98,Normal
31,0001,0012,Known,N/A,0.29139,3.20e-02,29.14,Normal
32,0012,0121,Unseen,0021,0.00397,1.27e-04,99.6,Anomaly
33,0121,1211,Unseen,1211,0.0,1.27e-09,100.0,Anomaly
34,1211,2111,Known,N/A,0.01205,1.53e-11,1.2,Normal
35,2111,1111,Known,N/A,0.06742,1.03e-12,6.74,Normal
36,1111,1112,Known,N/A,0.01176,1.21e-14,1.18,Normal
37,1112,1120,Known,N/A,0.025,3.03e-16,2.5,Normal
38,1120,1202,Known,N/A,0.0241,7.31e-18,2.41,Normal
39,1202,2022,Known,N/A,0.02597,1.90e-19,2.6,Normal
40,2022,0222,Known,N/A,0.1828,1.83e-01,18.28,Normal
41,0222,2222,Known,N/A,0.47305,8.65e-02,47.31,Normal
42,2222,2222,Known,N/A,0.60926,5.27e-02,60.93,Normal
43,2222,2222,Known,N/A,0.60926,3.21e-02,60.93,Normal
44,2222,2222,Known,N/A,0.60926,1.96e-02,60.93,Normal
45,2222,2222,Known,N/A,0.60926,1.19e-02,60.93,Normal
46,2222,2222,Known,N/A,0.60926,7.26e-03,60.93,Normal
47,2222,2220,Known,N/A,0.15926,1.16e-03,15.93,Normal
48,2220,2200,Known,N/A,0.46707,5.40e-04,46.71,Normal
49,2200,2002,Known,N/A,0.0828,4.47e-05,8.28,Normal
50,2002,0020,Known,N/A,0.04348,4.35e-02,4.35,Normal
51,0020,0200,Known,N/A,0.08602,3.74e-03,8.6,Normal
52,0200,2000,Known,N/A,0.17204,6.43e-04,17.2,Normal
53,2000,0000,Known,N/A,0.5,3.22e-04,50.0,Normal
54,0000,0000,Known,N/A,0.64426,2.07e-04,64.43,Normal
55,0000,0000,Known,N/A,0.64426,1.34e-04,64.43,Normal
56,0000,0001,Known,N/A,0.10984,1.47e-05,10.98,Normal
57,0001,0010,Known,N/A,0.07285,1.07e-06,7.28,Normal
58,0010,0100,Known,N/A,0.10465,1.12e-07,10.47,Normal
59,0100,1000,Known,N/A,0.16667,1.86e-08,16.67,Normal
60,1000,0000,Known,N/A,0.40845,4.08e-01,40.85,Normal
61,0000,0000,Known,N/A,0.64426,2.63e-01,64.43,Normal
62,0000,0000,Known,N/A,0.64426,1.70e-01,64.43,Normal
63,0000,0000,Known,N/A,0.64426,1.09e-01,64.43,Normal
64,0000,0000,Known,N/A,0.64426,7.04e-02,64.43,Normal
65,0000,0000,Known,N/A,0.64426,4.53e-02,64.43,Normal
66,0000,0002,Known,N/A,0.12623,5.72e-03,12.62,Normal
67,0002,0022,Known,N/A,0.39634,2.27e-03,39.63,Normal
68,0022,0222,Known,N/A,0.46835,1.06e-03,46.84,Normal
69,0222,2222,Known,N/A,0.47305,5.03e-04,47.31,Normal
70,2222,2222,Known,N/A,0.60926,6.09e-01,60.93,Normal
71,2222,2222,Known,N/A,0.60926,3.71e-01,60.93,Normal
72,2222,2222,Known,N/A,0.60926,2.26e-01,60.93,Normal
73,2222,2222,Known,N/A,0.60926,1.38e-01,60.93,Normal
74,2222,2221,Known,N/A,0.0963,1.33e-02,9.63,Normal
75,2221,2210,Known,N/A,0.17857,2.37e-03,17.86,Normal
76,2210,2100,Known,N/A,0.21359,5.06e-04,21.36,Normal
77,2100,1000,Known,N/A,0.23529,1.19e-04,23.53,Normal
78,1000,0000,Known,N/A,0.40845,4.86e-05,40.85,Normal
79,0000,0002,Known,N/A,0.12623,6.14e-06,12.62,Normal
80,0002,0022,Known,N/A,0.39634,3.96e-01,39.63,Normal
81,0022,0222,Known,N/A,0.46835,1.86e-01,46.84,Normal
82,0222,2222,Known,N/A,0.47305,8.78e-02,47.31,Normal
83,2222,2220,Known,N/A,0.15926,1.40e-02,15.93,Normal
84,2220,2200,Known,N/A,0.46707,6.53e-03,46.71,Normal
85,2200,2000,Known,N/A,0.44586,2.91e-03,44.59,Normal
86,2000,0000,Known,N/A,0.5,1.46e-03,50.0,Normal
87,0000,0000,Known,N/A,0.64426,9.38e-04,64.43,Normal
88,0000,0000,Known,N/A,0.64426,6.04e-04,64.43,Normal
89,0000,0000,Known,N/A,0.64426,3.89e-04,64.43,Normal
90,0000,0002,Known,N/A,0.12623,1.26e-01,12.62,Normal
91,0002,0022,Known,N/A,0.39634,5.00e-02,39.63,Normal
92,0022,0222,Known,N/A,0.46835,2.34e-02,46.84,Normal
93,0222,2222,Known,N/A,0.47305,1.11e-02,47.31,Normal
94,2222,2222,Known,N/A,0.60926,6.75e-03,60.93,Normal
95,2222,2222,Known,N/A,0.60926,4.11e-03,60.93,Normal
