time_step,current_state,next_pattern,status,mapped_to,transition_probability,path_probability,confidence_score_%,decision
29,1111,1111,Known,N/A,0.95807,1.37e-12,95.81,Normal
30,1111,1111,Known,N/A,0.95807,1.31e-12,95.81,Normal
31,1111,1111,Known,N/A,0.95807,1.26e-12,95.81,Normal
32,1111,1111,Known,N/A,0.95807,1.20e-12,95.81,Normal
33,1111,1111,Known,N/A,0.95807,1.15e-12,95.81,Normal
34,1111,1111,Known,N/A,0.95807,1.10e-12,95.81,Normal
35,1111,1111,Known,N/A,0.95807,1.06e-12,95.81,Normal
36,1111,1111,Known,N/A,0.95807,1.01e-12,95.81,Normal
37,1111,1111,Known,N/A,0.95807,9.71e-13,95.81,Normal
38,1111,1112,Known,N/A,0.01906,1.85e-14,1.91,Normal
39,1112,1122,Known,N/A,0.55556,1.03e-14,55.56,Normal
40,1122,1222,Known,N/A,0.56579,5.82e-15,56.58,Normal
41,1222,2222,Known,N/A,0.61538,3.58e-15,61.54,Normal
42,2222,2222,Known,N/A,0.99448,3.56e-15,99.45,Normal
43,2222,2222,Known,N/A,0.99448,3.54e-15,99.45,Normal
44,2222,2222,Known,N/A,0.99448,3.52e-15,99.45,Normal
45,2222,2222,Known,N/A,0.99448,3.50e-15,99.45,Normal
46,2222,2222,Known,N/A,0.99448,3.48e-15,99.45,Normal
47,2222,2222,Known,N/A,0.99448,3.46e-15,99.45,Normal
48,2222,2222,Known,N/A,0.99448,3.44e-15,99.45,Normal
49,2222,2222,Known,N/A,0.99448,3.42e-15,99.45,Normal
50,2222,2222,Known,N/A,0.99448,3.41e-15,99.45,Normal
51,2222,2222,Known,N/A,0.99448,3.39e-15,99.45,Normal
52,2222,2222,Known,N/A,0.99448,3.37e-15,99.45,Normal
53,2222,2222,Known,N/A,0.99448,3.35e-15,99.45,Normal
54,2222,2222,Known,N/A,0.99448,3.33e-15,99.45,Normal
55,2222,2222,Known,N/A,0.99448,3.31e-15,99.45,Normal
56,2222,2222,Known,N/A,0.99448,3.29e-15,99.45,Normal
57,2222,2222,Known,N/A,0.99448,3.28e-15,99.45,Normal
58,2222,2222,Known,N/A,0.99448,3.26e-15,99.45,Normal
59,2222,2222,Known,N/A,0.99448,3.24e-15,99.45,Normal
60,2222,2222,Known,N/A,0.99448,3.22e-15,99.45,Normal
61,2222,2222,Known,N/A,0.99448,3.20e-15,99.45,Normal
62,2222,2222,Known,N/A,0.99448,3.19e-15,99.45,Normal
63,2222,2222,Known,N/A,0.99448,3.17e-15,99.45,Normal
64,2222,2222,Known,N/A,0.99448,3.15e-15,99.45,Normal
65,2222,2222,Known,N/A,0.99448,3.13e-15,99.45,Normal
66,2222,2222,Known,N/A,0.99448,3.12e-15,99.45,Normal
67,2222,2222,Known,N/A,0.99448,3.10e-15,99.45,Normal
68,2222,2222,Known,N/A,0.99448,3.08e-15,99.45,Normal
69,2222,2222,Known,N/A,0.99448,3.07e-15,99.45,Normal
70,2222,2222,Known,N/A,0.99448,3.05e-15,99.45,Normal
71,2222,2222,Known,N/A,0.99448,3.03e-15,99.45,Normal
72,2222,2222,Known,N/A,0.99448,3.02e-15,99.45,Normal
73,2222,2222,Known,N/A,0.99448,3.00e-15,99.45,Normal
74,2222,2222,Known,N/A,0.99448,2.98e-15,99.45,Normal
75,2222,2222,Known,N/A,0.99448,2.97e-15,99.45,Normal
76,2222,2222,Known,N/A,0.99448,2.95e-15,99.45,Normal
77,2222,2222,Known,N/A,0.99448,2.93e-15,99.45,Normal
78,2222,2222,Known,N/A,0.99448,2.92e-15,99.45,Normal
79,2222,2222,Known,N/A,0.99448,2.90e-15,99.45,Normal
80,2222,2222,Known,N/A,0.99448,2.88e-15,99.45,Normal
81,2222,2222,Known,N/A,0.99448,2.87e-15,99.45,Normal
82,2222,2222,Known,N/A,0.99448,2.85e-15,99.45,Normal
83,2222,2222,Known,N/A,0.99448,2.84e-15,99.45,Normal
84,2222,2222,Known,N/A,0.99448,2.82e-15,99.45,Normal
85,2222,2222,Known,N/A,0.99448,2.81e-15,99.45,Normal
86,2222,2222,Known,N/A,0.99448,2.79e-15,99.45,Normal
87,2222,2222,Known,N/A,0.99448,2.78e-15,99.45,Normal
88,2222,2222,Known,N/A,0.99448,2.76e-15,99.45,Normal
89,2222,2222,Known,N/A,0.99448,2.74e-15,99.45,Normal
90,2222,2222,Known,N/A,0.99448,2.73e-15,99.45,Normal
91,2222,2222,Known,N/A,0.99448,2.71e-15,99.45,Normal
92,2222,2222,Known,N/A,0.99448,2.70e-15,99.45,Normal
93,2222,2222,Known,N/A,0.99448,2.68e-15,99.45,Normal
94,2222,2222,Known,N/A,0.99448,2.67e-15,99.45,Normal
95,2222,2222,Known,N/A,0.99448,2.66e-15,99.45,Normal
