time_step,current_state,next_pattern,status,mapped_to,transition_probability,path_probability,confidence_score_%,decision
28,2000,0000,Known,N/A,0.5,1.67e-14,50.0,Normal
29,0000,0000,Known,N/A,0.64426,1.08e-14,64.43,Normal
30,0000,0001,Known,N/A,0.10984,1.18e-15,10.98,Normal
31,0001,0012,Known,N/A,0.29139,3.44e-16,29.14,Normal
32,0012,0121,Unseen,0111,0.00397,1.37e-18,0.4,Anomaly
33,0121,1211,Unseen,1211,0.0,1.37e-23,0.0,Anomaly
34,1211,2111,Known,N/A,0.01205,1.65e-25,1.2,Normal
35,2111,1111,Known,N/A,0.06742,1.11e-26,6.74,Normal
36,1111,1112,Known,N/A,0.01176,1.31e-28,1.18,Normal
37,1112,1120,Known,N/A,0.025,3.26e-30,2.5,Normal
38,1120,1202,Known,N/A,0.0241,7.87e-32,2.41,Normal
39,1202,2022,Known,N/A,0.02597,2.04e-33,2.6,Normal
40,2022,0222,Known,N/A,0.1828,3.73e-34,18.28,Normal
41,0222,2222,Known,N/A,0.47305,1.77e-34,47.31,Normal
42,2222,2222,Known,N/A,0.60926,1.08e-34,60.93,Normal
43,2222,2222,Known,N/A,0.60926,6.56e-35,60.93,Normal
44,2222,2222,Known,N/A,0.60926,4.00e-35,60.93,Normal
45,2222,2222,Known,N/A,0.60926,2.43e-35,60.93,Normal
46,2222,2222,Known,N/A,0.60926,1.48e-35,60.93,Normal
47,2222,2220,Known,N/A,0.15926,2.36e-36,15.93,Normal
48,2220,2200,Known,N/A,0.46707,1.10e-36,46.71,Normal
49,2200,2002,Known,N/A,0.0828,9.13e-38,8.28,Normal
50,2002,0020,Known,N/A,0.04348,3.97e-39,4.35,Normal
51,0020,0200,Known,N/A,0.08602,3.42e-40,8.6,Normal
52,0200,2000,Known,N/A,0.17204,5.88e-41,17.2,Normal
53,2000,0000,Known,N/A,0.5,2.94e-41,50.0,Normal
54,0000,0000,Known,N/A,0.64426,1.89e-41,64.43,Normal
55,0000,0000,Known,N/A,0.64426,1.22e-41,64.43,Normal
56,0000,0001,Known,N/A,0.10984,1.34e-42,10.98,Normal
57,0001,0010,Known,N/A,0.07285,9.76e-44,7.28,Normal
58,0010,0100,Known,N/A,0.10465,1.02e-44,10.47,Normal
59,0100,1000,Known,N/A,0.16667,1.70e-45,16.67,Normal
60,1000,0000,Known,N/A,0.40845,6.95e-46,40.85,Normal
61,0000,0000,Known,N/A,0.64426,4.48e-46,64.43,Normal
62,0000,0000,Known,N/A,0.64426,2.89e-46,64.43,Normal
63,0000,0000,Known,N/A,0.64426,1.86e-46,64.43,Normal
64,0000,0000,Known,N/A,0.64426,1.20e-46,64.43,Normal
65,0000,0000,Known,N/A,0.64426,7.72e-47,64.43,Normal
66,0000,0002,Known,N/A,0.12623,9.74e-48,12.62,Normal
67,0002,0022,Known,N/A,0.39634,3.86e-48,39.63,Normal
68,0022,0222,Known,N/A,0.46835,1.81e-48,46.84,Normal
69,0222,2222,Known,N/A,0.47305,8.56e-49,47.31,Normal
70,2222,2222,Known,N/A,0.60926,5.21e-49,60.93,Normal
71,2222,2222,Known,N/A,0.60926,3.18e-49,60.93,Normal
72,2222,2222,Known,N/A,0.60926,1.93e-49,60.93,Normal
73,2222,2222,Known,N/A,0.60926,1.18e-49,60.93,Normal
74,2222,2221,Known,N/A,0.0963,1.14e-50,9.63,Normal
75,2221,2210,Known,N/A,0.17857,2.03e-51,17.86,Normal
76,2210,2100,Known,N/A,0.21359,4.33e-52,21.36,Normal
77,2100,1000,Known,N/A,0.23529,1.02e-52,23.53,Normal
78,1000,0000,Known,N/A,0.40845,4.16e-53,40.85,Normal
79,0000,0002,Known,N/A,0.12623,5.25e-54,12.62,Normal
80,0002,0022,Known,N/A,0.39634,2.08e-54,39.63,Normal
81,0022,0222,Known,N/A,0.46835,9.75e-55,46.84,Normal
82,0222,2222,Known,N/A,0.47305,4.61e-55,47.31,Normal
83,2222,2220,Known,N/A,0.15926,7.35e-56,15.93,Normal
84,2220,2200,Known,N/A,0.46707,3.43e-56,46.71,Normal
85,2200,2000,Known,N/A,0.44586,1.53e-56,44.59,Normal
86,2000,0000,Known,N/A,0.5,7.65e-57,50.0,Normal
87,0000,0000,Known,N/A,0.64426,4.93e-57,64.43,Normal
88,0000,0000,Known,N/A,0.64426,3.17e-57,64.43,Normal
89,0000,0000,Known,N/A,0.64426,2.05e-57,64.43,Normal
90,0000,0002,Known,N/A,0.12623,2.58e-58,12.62,Normal
91,0002,0022,Known,N/A,0.39634,1.02e-58,39.63,Normal
92,0022,0222,Known,N/A,0.46835,4.79e-59,46.84,Normal
93,0222,2222,Known,N/A,0.47305,2.27e-59,47.31,Normal
94,2222,2222,Known,N/A,0.60926,1.38e-59,60.93,Normal
95,2222,2222,Known,N/A,0.60926,8.42e-60,60.93,Normal
